"Handle","Title","Size","Variant SKU","Variant ID"
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","8","FOLDOVER-RUFFLE-SRT-BEG-8",55721431204226
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","10","FOLDOVER-RUFFLE-SRT-BEG-10",55721431236994
"the-fold-over-ruffle-shorts-beige","The foldover ruffle shorts - beige","14","FOLDOVER-RUFFLE-SRT-BEG-14",55721431302530
"the-high-neck-crop-top-white","The high neck crop top - white","4","HIGH-NECK-TOP-WHT-4",44037579112501
"the-high-neck-crop-top-white","The high neck crop top - white","10","HIGH-NECK-TOP-WHT-10",44037579210805
"the-high-neck-crop-top-white","The high neck crop top - white","12","HIGH-NECK-TOP-WHT-12",44037579243573
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","4","HIGH-NECK-TOP-BLK-4",42960778919989
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","6","HIGH-NECK-TOP-BLK-6",42960778952757
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","8","HIGH-NECK-TOP-BLK-8",42960778985525
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","12","HIGH-NECK-TOP-BLK-12",42960779051061
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","14","HIGH-NECK-TOP-BLK-14",42960779083829
"the-high-neck-leather-crop-top-black","The high neck leather crop top - black","16","HIGH-NECK-TOP-BLK-16",42960779116597
"the-high-neck-leather-crop-top-stone-1","The high neck leather crop top - stone","4","HIGH-NECK-TOP-XXX-4",42719203885109
"the-high-neck-leather-crop-top-stone-1","The high neck leather crop top - stone","8","HIGH-NECK-TOP-XXX-8",42719203950645
"the-high-neck-suede-crop-top-cream","The high neck suede crop top - cream","4","HIGH-NECK-TOP-CRE-4",55957092237698
"the-high-neck-suede-crop-top-cream","The high neck suede crop top - cream","6","HIGH-NECK-TOP-CRE-6",55957092270466
"the-high-neck-suede-crop-top-cream","The high neck suede crop top - cream","8","HIGH-NECK-TOP-CRE-8",55957092303234
"the-high-neck-suede-crop-top-cream","The high neck suede crop top - cream","10","HIGH-NECK-TOP-CRE-10",55957092336002
"the-high-neck-suede-crop-top-cream","The high neck suede crop top - cream","12","HIGH-NECK-TOP-CRE-12",55957092368770
"the-high-neck-suede-crop-top-khaki","The high neck suede crop top - khaki","4","HIGH-NECK-TOP-KHA-4",55957064057218
"the-high-neck-suede-crop-top-khaki","The high neck suede crop top - khaki","6","HIGH-NECK-TOP-KHA-6",55957064089986
"the-high-neck-suede-crop-top-khaki","The high neck suede crop top - khaki","8","HIGH-NECK-TOP-KHA-8",55957064122754
"the-high-neck-suede-crop-top-khaki","The high neck suede crop top - khaki","10","HIGH-NECK-TOP-KHA-10",55957064155522
"the-high-neck-suede-crop-top-khaki","The high neck suede crop top - khaki","12","HIGH-NECK-TOP-KHA-12",55957064188290
"the-high-neck-suede-crop-top-khaki","The high neck suede crop top - khaki","14","HIGH-NECK-TOP-KHA-14",55957064221058
"the-high-neck-suede-mini-camel","The high neck suede mini - camel","8","HIGH-NECK-GEN-CAM-8",56117893431682
"the-high-neck-suede-mini-camel","The high neck suede mini - camel","10","HIGH-NECK-GEN-CAM-10",56117893464450
"the-high-neck-suede-mini-camel","The high neck suede mini - camel","12","HIGH-NECK-GEN-CAM-12",56117893497218
"copy-the-high-neck-mini-cream","The high neck suede mini - cream","8","HIGH-NECK-GEN-CRE-8",55957056881026
